layer,pos,p2f_train,p2f_test,f2p_train,f2p_test
0,0,1.0,0.42,1.0,0.54
0,1,1.0,0.4533333333333333,1.0,0.36333333333333334
0,2,1.0,0.48333333333333334,1.0,0.43
0,3,1.0,0.4766666666666667,1.0,0.45666666666666667
0,4,1.0,0.4266666666666667,1.0,0.49666666666666665
1,0,1.0,0.5766666666666667,1.0,0.58
1,1,1.0,0.49,1.0,0.47333333333333333
1,2,1.0,0.5133333333333333,1.0,0.4666666666666667
1,3,1.0,0.4866666666666667,1.0,0.4633333333333333
1,4,1.0,0.49333333333333335,1.0,0.5
2,0,1.0,0.5033333333333333,1.0,0.5466666666666666
2,1,1.0,0.47333333333333333,1.0,0.47
2,2,1.0,0.47333333333333333,1.0,0.49666666666666665
2,3,1.0,0.46,1.0,0.44666666666666666
2,4,1.0,0.4766666666666667,1.0,0.5
3,0,1.0,0.5866666666666667,1.0,0.5733333333333334
3,1,1.0,0.5633333333333334,1.0,0.5533333333333333
3,2,1.0,0.4666666666666667,1.0,0.5433333333333333
3,3,1.0,0.5233333333333333,1.0,0.54
3,4,1.0,0.44,1.0,0.5333333333333333
4,0,1.0,0.45666666666666667,1.0,0.48333333333333334
4,1,1.0,0.6666666666666666,1.0,0.5866666666666667
4,2,1.0,0.47333333333333333,1.0,0.5233333333333333
4,3,1.0,0.53,1.0,0.47333333333333333
4,4,1.0,0.46,1.0,0.5
5,0,1.0,0.57,1.0,0.58
5,1,1.0,0.71,1.0,0.6066666666666667
5,2,1.0,0.4766666666666667,1.0,0.5166666666666667
5,3,1.0,0.61,1.0,0.5266666666666666
5,4,1.0,0.5666666666666667,1.0,0.5233333333333333
6,0,1.0,0.5366666666666666,1.0,0.5233333333333333
6,1,1.0,0.6066666666666667,1.0,0.5966666666666667
6,2,1.0,0.5766666666666667,1.0,0.5833333333333334
6,3,1.0,0.5866666666666667,1.0,0.5533333333333333
6,4,1.0,0.5733333333333334,1.0,0.5533333333333333
7,0,1.0,0.5666666666666667,1.0,0.5733333333333334
7,1,1.0,0.67,1.0,0.6366666666666667
7,2,1.0,0.6266666666666667,1.0,0.56
7,3,1.0,0.6866666666666666,1.0,0.6166666666666667
7,4,1.0,0.56,1.0,0.43666666666666665
8,0,1.0,0.5566666666666666,1.0,0.57
8,1,1.0,0.62,1.0,0.6166666666666667
8,2,1.0,0.73,1.0,0.6
8,3,1.0,0.6966666666666667,1.0,0.56
8,4,1.0,0.6366666666666667,1.0,0.5533333333333333
9,0,1.0,0.63,1.0,0.5966666666666667
9,1,1.0,0.6666666666666666,1.0,0.6166666666666667
9,2,1.0,0.6433333333333333,1.0,0.6433333333333333
9,3,1.0,0.7666666666666667,1.0,0.57
9,4,1.0,0.7433333333333333,1.0,0.57
10,0,1.0,0.5566666666666666,1.0,0.52
10,1,1.0,0.6333333333333333,1.0,0.5733333333333334
10,2,1.0,0.6666666666666666,1.0,0.62
10,3,1.0,0.6933333333333334,1.0,0.5033333333333333
10,4,1.0,0.7333333333333333,1.0,0.5966666666666667
11,0,1.0,0.5933333333333334,1.0,0.5833333333333334
11,1,1.0,0.61,1.0,0.6166666666666667
11,2,1.0,0.7166666666666667,1.0,0.64
11,3,1.0,0.62,1.0,0.57
11,4,1.0,0.7433333333333333,1.0,0.6233333333333333
12,0,1.0,0.5633333333333334,1.0,0.5566666666666666
12,1,1.0,0.62,1.0,0.6166666666666667
12,2,1.0,0.7233333333333334,1.0,0.67
12,3,1.0,0.5966666666666667,1.0,0.57
12,4,1.0,0.6566666666666666,1.0,0.5966666666666667
13,0,1.0,0.6766666666666666,1.0,0.5566666666666666
13,1,1.0,0.7433333333333333,1.0,0.6933333333333334
13,2,1.0,0.7733333333333333,1.0,0.7233333333333334
13,3,1.0,0.69,1.0,0.6833333333333333
13,4,1.0,0.7366666666666667,1.0,0.6966666666666667
14,0,1.0,0.57,1.0,0.53
14,1,1.0,0.7433333333333333,1.0,0.73
14,2,1.0,0.79,1.0,0.7466666666666667
14,3,1.0,0.79,1.0,0.61
14,4,1.0,0.82,1.0,0.73
15,0,1.0,0.5633333333333334,1.0,0.5533333333333333
15,1,1.0,0.7366666666666667,1.0,0.7033333333333334
15,2,1.0,0.8133333333333334,1.0,0.7633333333333333
15,3,1.0,0.7233333333333334,1.0,0.6966666666666667
15,4,1.0,0.7733333333333333,1.0,0.75
16,0,1.0,0.5466666666666666,1.0,0.5266666666666666
16,1,1.0,0.76,1.0,0.6733333333333333
16,2,1.0,0.8833333333333333,1.0,0.7666666666666667
16,3,1.0,0.7633333333333333,1.0,0.69
16,4,1.0,0.8033333333333333,1.0,0.69
17,0,1.0,0.57,1.0,0.57
17,1,1.0,0.67,1.0,0.6333333333333333
17,2,1.0,0.83,1.0,0.74
17,3,1.0,0.7033333333333334,1.0,0.69
17,4,1.0,0.7566666666666667,1.0,0.6033333333333334
18,0,1.0,0.54,1.0,0.5266666666666666
18,1,1.0,0.6666666666666666,1.0,0.6433333333333333
18,2,1.0,0.84,1.0,0.7333333333333333
18,3,1.0,0.7633333333333333,1.0,0.7033333333333334
18,4,1.0,0.7566666666666667,1.0,0.6033333333333334
19,0,1.0,0.57,1.0,0.6133333333333333
19,1,1.0,0.74,1.0,0.6933333333333334
19,2,1.0,0.84,1.0,0.71
19,3,1.0,0.7066666666666667,1.0,0.6166666666666667
19,4,1.0,0.75,1.0,0.6466666666666666
20,0,1.0,0.5666666666666667,1.0,0.59
20,1,1.0,0.6933333333333334,1.0,0.73
20,2,1.0,0.8366666666666667,1.0,0.7566666666666667
20,3,1.0,0.6933333333333334,1.0,0.6433333333333333
20,4,1.0,0.72,1.0,0.6066666666666667
21,0,1.0,0.63,1.0,0.53
21,1,1.0,0.76,1.0,0.6866666666666666
21,2,1.0,0.8033333333333333,1.0,0.7
21,3,1.0,0.7266666666666667,1.0,0.59
21,4,1.0,0.7,1.0,0.6233333333333333
22,0,1.0,0.6366666666666667,1.0,0.55
22,1,1.0,0.6666666666666666,1.0,0.6666666666666666
22,2,1.0,0.7466666666666667,1.0,0.7533333333333333
22,3,1.0,0.7033333333333334,1.0,0.6633333333333333
22,4,1.0,0.6766666666666666,1.0,0.6766666666666666
23,0,1.0,0.6,1.0,0.5533333333333333
23,1,1.0,0.6633333333333333,1.0,0.6066666666666667
23,2,1.0,0.8133333333333334,1.0,0.7766666666666666
23,3,1.0,0.7466666666666667,1.0,0.6566666666666666
23,4,1.0,0.6533333333333333,1.0,0.67
24,0,1.0,0.5933333333333334,1.0,0.58
24,1,1.0,0.6733333333333333,1.0,0.6133333333333333
24,2,1.0,0.8033333333333333,1.0,0.7566666666666667
24,3,1.0,0.7466666666666667,1.0,0.64
24,4,1.0,0.6566666666666666,1.0,0.6366666666666667
25,0,1.0,0.64,1.0,0.52
25,1,1.0,0.6766666666666666,1.0,0.66
25,2,1.0,0.83,1.0,0.74
25,3,1.0,0.7533333333333333,1.0,0.6033333333333334
25,4,1.0,0.6766666666666666,1.0,0.6966666666666667
