layer,direction,auroc_full,auroc_ablated,auroc_random,drop,drop_specific
0,split,0.9658741258741259,0.4934265734265734,0.9655944055944056,0.4724475524475525,0.47216783216783215
1,split,0.9944055944055944,0.5516083916083916,0.9946853146853147,0.4427972027972028,0.44307692307692315
2,split,0.9818181818181818,0.4467132867132867,0.982097902097902,0.5351048951048951,0.5353846153846153
3,split,0.9910489510489511,0.48335664335664336,0.9910489510489511,0.5076923076923077,0.5076923076923077
4,split,0.9944055944055944,0.5141258741258741,0.9941258741258742,0.4802797202797203,0.4800000000000001
5,split,0.9801398601398601,0.5186013986013986,0.9801398601398601,0.46153846153846145,0.46153846153846145
6,split,0.9854545454545455,0.48727272727272725,0.9854545454545455,0.4981818181818182,0.4981818181818182
7,split,0.9832167832167832,0.5264335664335664,0.982937062937063,0.45678321678321676,0.45650349650349653
8,split,0.9932867132867133,0.48363636363636364,0.9932867132867133,0.5096503496503496,0.5096503496503496
9,split,0.9910489510489511,0.48363636363636364,0.9910489510489511,0.5074125874125874,0.5074125874125874
10,split,0.9868531468531468,0.5121678321678321,0.9868531468531468,0.4746853146853147,0.4746853146853147
11,split,0.9896503496503497,0.4914685314685315,0.9896503496503497,0.4981818181818182,0.4981818181818182
12,split,0.9899300699300699,0.5103496503496503,0.9896503496503497,0.47958041958041964,0.4793006993006994
13,split,0.9946853146853147,0.47440559440559443,0.9946853146853147,0.5202797202797202,0.5202797202797202
14,split,0.993006993006993,0.5026573426573426,0.993006993006993,0.4903496503496504,0.4903496503496504
15,split,0.9952447552447552,0.5205594405594406,0.9952447552447552,0.4746853146853146,0.4746853146853146
16,split,0.9977622377622377,0.5172027972027972,0.9977622377622377,0.48055944055944055,0.48055944055944055
17,split,1.0,0.5188811188811189,1.0,0.4811188811188811,0.4811188811188811
18,split,1.0,0.5342657342657343,1.0,0.4657342657342657,0.4657342657342657
19,split,1.0,0.5485314685314685,1.0,0.4514685314685315,0.4514685314685315
20,split,1.0,0.47468531468531466,1.0,0.5253146853146853,0.5253146853146853
21,split,1.0,0.45174825174825173,1.0,0.5482517482517483,0.5482517482517483
22,split,1.0,0.433006993006993,1.0,0.5669930069930069,0.5669930069930069
23,split,1.0,0.433986013986014,1.0,0.566013986013986,0.566013986013986
24,split,1.0,0.5745454545454546,1.0,0.4254545454545454,0.4254545454545454
25,split,1.0,0.5883916083916084,1.0,0.4116083916083916,0.4116083916083916
26,split,1.0,0.4211188811188811,1.0,0.5788811188811189,0.5788811188811189
27,split,0.9994405594405594,0.4584615384615385,0.9994405594405594,0.540979020979021,0.540979020979021
28,split,0.9988811188811189,0.5330069930069931,0.9988811188811189,0.4658741258741258,0.4658741258741258
29,split,0.9988811188811189,0.4616783216783217,0.9988811188811189,0.5372027972027972,0.5372027972027972
30,split,0.9988811188811189,0.5448951048951048,0.9988811188811189,0.453986013986014,0.453986013986014
31,split,0.9988811188811189,0.44223776223776223,0.9988811188811189,0.5566433566433566,0.5566433566433566
32,split,0.9991608391608392,0.4791608391608392,0.9991608391608392,0.52,0.52
33,split,0.9991608391608392,0.45972027972027973,0.9991608391608392,0.5394405594405595,0.5394405594405595
34,split,0.9988811188811189,0.46237762237762237,0.9988811188811189,0.5365034965034965,0.5365034965034965
35,split,0.9991608391608392,0.5376223776223776,0.9991608391608392,0.46153846153846156,0.46153846153846156
36,split,0.9988811188811189,0.5384615384615384,0.9988811188811189,0.4604195804195804,0.4604195804195804
37,split,0.9988811188811189,0.4760839160839161,0.9988811188811189,0.5227972027972028,0.5227972027972028
38,split,0.9988811188811189,0.46615384615384614,0.9988811188811189,0.5327272727272727,0.5327272727272727
39,split,0.9988811188811189,0.5353846153846153,0.9988811188811189,0.4634965034965035,0.4634965034965035
40,split,0.9988811188811189,0.5247552447552447,0.9988811188811189,0.47412587412587415,0.47412587412587415
41,split,0.9986013986013986,0.5406993006993007,0.9986013986013986,0.4579020979020979,0.4579020979020979
