layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
15,0,1.0,0.6333333333333333,0.6352444444444444,1.0,0.5633333333333334,0.6164888888888889
15,1,1.0,0.7133333333333334,0.8526222222222222,1.0,0.6133333333333333,0.6358222222222222
15,2,1.0,0.76,0.8448,1.0,0.6266666666666667,0.7018666666666666
15,3,1.0,0.7366666666666667,0.8256444444444444,1.0,0.67,0.6906666666666667
15,4,1.0,0.7333333333333333,0.8988444444444444,1.0,0.6233333333333333,0.6316888888888889
16,0,1.0,0.63,0.6755111111111111,1.0,0.5933333333333334,0.6278666666666667
16,1,1.0,0.7166666666666667,0.8572,1.0,0.6133333333333333,0.6470222222222223
16,2,1.0,0.76,0.8564444444444445,1.0,0.63,0.7071111111111111
16,3,1.0,0.8466666666666667,0.9079111111111111,1.0,0.6933333333333334,0.7200888888888889
16,4,1.0,0.8,0.9248444444444445,1.0,0.6433333333333333,0.6577777777777778
17,0,1.0,0.6533333333333333,0.6820888888888889,1.0,0.5666666666666667,0.6184888888888889
17,1,1.0,0.8033333333333333,0.9411555555555555,1.0,0.67,0.7386666666666667
17,2,1.0,0.8633333333333333,0.9522666666666667,1.0,0.7266666666666667,0.8186222222222223
17,3,1.0,0.7766666666666666,0.8888,1.0,0.7066666666666667,0.7667555555555555
17,4,1.0,0.8,0.9245333333333333,1.0,0.7,0.7648888888888888
18,0,1.0,0.6533333333333333,0.7296444444444444,1.0,0.5733333333333334,0.6242666666666666
18,1,1.0,0.7966666666666666,0.9532888888888889,1.0,0.74,0.8292444444444445
18,2,1.0,0.7766666666666666,0.9429333333333333,1.0,0.7366666666666667,0.8456888888888889
18,3,1.0,0.79,0.9049333333333334,1.0,0.7,0.7610666666666667
18,4,1.0,0.82,0.9320888888888889,1.0,0.7,0.8185777777777777
19,0,1.0,0.6033333333333334,0.7429333333333333,1.0,0.59,0.6514222222222222
19,1,1.0,0.7566666666666667,0.9503555555555555,1.0,0.7533333333333333,0.8490666666666666
19,2,1.0,0.7766666666666666,0.9427111111111112,1.0,0.7533333333333333,0.8494222222222222
19,3,1.0,0.85,0.9573333333333334,1.0,0.7333333333333333,0.8303111111111111
19,4,1.0,0.8833333333333333,0.9485777777777777,1.0,0.6933333333333334,0.8820444444444444
20,0,1.0,0.6666666666666666,0.7731111111111111,1.0,0.58,0.6539555555555555
20,1,1.0,0.8,0.9640444444444445,1.0,0.7666666666666667,0.8728444444444444
20,2,1.0,0.8566666666666667,0.9476,1.0,0.7233333333333334,0.8571555555555556
20,3,1.0,0.85,0.9634222222222222,1.0,0.72,0.8527333333333333
20,4,1.0,0.8433333333333334,0.9324444444444444,1.0,0.7133333333333334,0.8988
21,0,1.0,0.6866666666666666,0.7892888888888889,1.0,0.6066666666666667,0.6622222222222223
21,1,1.0,0.8333333333333334,0.9776,1.0,0.78,0.9050222222222222
21,2,1.0,0.91,0.9719555555555556,1.0,0.67,0.8604888888888889
21,3,1.0,0.8433333333333334,0.9526222222222223,1.0,0.7166666666666667,0.867
21,4,1.0,0.89,0.9495111111111111,1.0,0.7,0.9334444444444444
22,0,1.0,0.6433333333333333,0.736,1.0,0.6533333333333333,0.6779555555555555
22,1,1.0,0.87,0.984,1.0,0.7766666666666666,0.9376444444444444
22,2,1.0,0.8866666666666667,0.9668,1.0,0.6666666666666666,0.8611111111111112
22,3,1.0,0.8266666666666667,0.9626222222222223,1.0,0.7233333333333334,0.881
22,4,1.0,0.8466666666666667,0.9483111111111111,1.0,0.81,0.9470222222222222
23,0,1.0,0.6966666666666667,0.8370222222222222,1.0,0.6666666666666666,0.7064444444444444
23,1,1.0,0.8933333333333333,0.9919111111111111,1.0,0.79,0.9367111111111112
23,2,1.0,0.8966666666666666,0.9751555555555556,1.0,0.69,0.8970666666666667
23,3,1.0,0.8166666666666667,0.9587555555555556,1.0,0.72,0.8968888888888888
23,4,1.0,0.87,0.9670666666666666,1.0,0.85,0.9590666666666666
24,0,1.0,0.6466666666666666,0.8193333333333334,1.0,0.65,0.6944444444444444
24,1,1.0,0.91,0.99,1.0,0.77,0.9429333333333333
24,2,1.0,0.9,0.9742222222222222,1.0,0.69,0.9291111111111111
24,3,1.0,0.8066666666666666,0.9437777777777778,1.0,0.67,0.8843111111111112
24,4,1.0,0.8333333333333334,0.9575555555555556,1.0,0.84,0.9627555555555556
25,0,1.0,0.68,0.7963555555555556,1.0,0.6633333333333333,0.71
25,1,1.0,0.8833333333333333,0.9908,1.0,0.7466666666666667,0.9444888888888889
25,2,1.0,0.9233333333333333,0.9788444444444444,1.0,0.6833333333333333,0.9421333333333334
25,3,1.0,0.82,0.9462666666666667,1.0,0.69,0.9233777777777777
25,4,1.0,0.8566666666666667,0.9622222222222222,1.0,0.8533333333333334,0.9702222222222222
26,0,1.0,0.71,0.8186666666666667,1.0,0.6633333333333333,0.7145777777777778
26,1,1.0,0.9233333333333333,0.9887555555555556,1.0,0.7566666666666667,0.9347111111111112
26,2,1.0,0.9066666666666666,0.9749333333333333,1.0,0.6833333333333333,0.9300888888888889
26,3,1.0,0.8166666666666667,0.9426666666666667,1.0,0.65,0.9216
26,4,1.0,0.82,0.9630666666666666,1.0,0.75,0.9684444444444444
27,0,1.0,0.6166666666666667,0.7798222222222222,1.0,0.65,0.6953333333333334
27,1,1.0,0.91,0.9845777777777778,1.0,0.7533333333333333,0.9112888888888889
27,2,1.0,0.9133333333333333,0.9761333333333333,1.0,0.6566666666666666,0.9050666666666667
27,3,1.0,0.81,0.9291111111111111,1.0,0.6333333333333333,0.9158666666666667
27,4,1.0,0.8,0.9575555555555556,1.0,0.61,0.9473333333333334
28,0,1.0,0.63,0.7387111111111111,1.0,0.62,0.6732888888888889
28,1,1.0,0.89,0.9755555555555555,1.0,0.76,0.9030222222222222
28,2,1.0,0.8833333333333333,0.9707111111111111,1.0,0.64,0.9043555555555556
28,3,1.0,0.8166666666666667,0.9282222222222222,1.0,0.7,0.9356
28,4,1.0,0.7466666666666667,0.9425555555555556,1.0,0.6633333333333333,0.9460444444444445
29,0,1.0,0.62,0.7708444444444444,1.0,0.6266666666666667,0.6664
29,1,1.0,0.8733333333333333,0.9616888888888889,1.0,0.7466666666666667,0.9010222222222222
29,2,1.0,0.8833333333333333,0.9713333333333334,1.0,0.6666666666666666,0.8566666666666667
29,3,1.0,0.8033333333333333,0.9036888888888889,1.0,0.66,0.9218444444444445
29,4,1.0,0.7433333333333333,0.9075111111111112,1.0,0.59,0.9448
30,0,1.0,0.6866666666666666,0.7709777777777778,1.0,0.6166666666666667,0.6694222222222223
30,1,1.0,0.8533333333333334,0.9516888888888889,1.0,0.7733333333333333,0.8874222222222222
30,2,1.0,0.8766666666666667,0.968,1.0,0.6533333333333333,0.8419111111111112
30,3,1.0,0.81,0.9138222222222222,1.0,0.7033333333333334,0.9364444444444444
30,4,1.0,0.74,0.9161777777777778,1.0,0.6633333333333333,0.9478888888888889
31,0,1.0,0.6766666666666666,0.7860444444444444,1.0,0.6166666666666667,0.6636888888888889
31,1,1.0,0.8266666666666667,0.9316,1.0,0.8166666666666667,0.8657333333333334
31,2,1.0,0.8933333333333333,0.9740888888888889,1.0,0.6933333333333334,0.8564444444444445
31,3,1.0,0.81,0.9128444444444445,1.0,0.6666666666666666,0.9308
31,4,1.0,0.71,0.9034222222222222,1.0,0.6233333333333333,0.9388
32,0,1.0,0.6533333333333333,0.7874666666666666,1.0,0.6266666666666667,0.6600888888888888
32,1,1.0,0.8033333333333333,0.9254222222222223,1.0,0.79,0.8479111111111111
32,2,1.0,0.8733333333333333,0.9694666666666667,1.0,0.67,0.8316444444444444
32,3,1.0,0.81,0.9144,1.0,0.6566666666666666,0.9233777777777777
32,4,1.0,0.7133333333333334,0.9220444444444444,1.0,0.5833333333333334,0.9370222222222222
33,0,1.0,0.66,0.8068444444444445,1.0,0.6233333333333333,0.6698666666666667
33,1,1.0,0.81,0.9275111111111111,1.0,0.7833333333333333,0.8542222222222222
33,2,1.0,0.89,0.9546666666666667,1.0,0.6533333333333333,0.8102222222222222
33,3,1.0,0.8033333333333333,0.9106222222222222,1.0,0.69,0.9300888888888889
33,4,1.0,0.7133333333333334,0.9248,1.0,0.61,0.9496222222222223
34,0,1.0,0.64,0.7879555555555555,1.0,0.6166666666666667,0.6517777777777778
34,1,1.0,0.82,0.9290222222222222,1.0,0.7866666666666666,0.8546222222222222
34,2,1.0,0.8866666666666667,0.9532888888888889,1.0,0.6266666666666667,0.7898666666666667
34,3,1.0,0.81,0.9110222222222222,1.0,0.73,0.9289333333333334
34,4,1.0,0.6933333333333334,0.9264,1.0,0.5533333333333333,0.9282222222222222
