layer,direction,auroc_full,auroc_ablated,auroc_random,drop,drop_specific
0,p2f,0.45253333333333334,0.5842666666666667,0.45284444444444444,-0.13173333333333337,-0.13142222222222227
0,f2p,0.4268,0.4159111111111111,0.4260888888888889,0.010888888888888892,0.010177777777777786
1,p2f,0.4537333333333333,0.4169777777777778,0.45444444444444443,0.03675555555555554,0.03746666666666665
1,f2p,0.4345333333333333,0.5334666666666666,0.4348888888888889,-0.09893333333333332,-0.09857777777777776
2,p2f,0.47128888888888887,0.5957777777777777,0.4706222222222222,-0.12448888888888887,-0.12515555555555552
2,f2p,0.4425777777777778,0.44133333333333336,0.4424444444444444,0.001244444444444437,0.0011111111111110628
3,p2f,0.45626666666666665,0.5897333333333333,0.4563111111111111,-0.13346666666666668,-0.13342222222222222
3,f2p,0.42488888888888887,0.47831111111111113,0.4244888888888889,-0.05342222222222226,-0.053822222222222216
4,p2f,0.5396,0.5571555555555555,0.5400444444444444,-0.017555555555555546,-0.017111111111111077
4,f2p,0.4874222222222222,0.5096444444444445,0.48844444444444446,-0.022222222222222254,-0.021199999999999997
5,p2f,0.4948444444444444,0.4247111111111111,0.4945777777777778,0.07013333333333333,0.06986666666666669
5,f2p,0.4572888888888889,0.48133333333333334,0.4575111111111111,-0.024044444444444424,-0.023822222222222245
6,p2f,0.5090222222222223,0.4244222222222222,0.5088444444444444,0.08460000000000006,0.08442222222222223
6,f2p,0.5184444444444445,0.5052,0.5184,0.013244444444444503,0.01319999999999999
7,p2f,0.5620888888888889,0.5631555555555555,0.5614222222222223,-0.0010666666666666602,-0.0017333333333332535
7,f2p,0.5106666666666667,0.5236444444444445,0.5107555555555555,-0.012977777777777755,-0.01288888888888895
8,p2f,0.6162222222222222,0.47873333333333334,0.6161333333333333,0.13748888888888888,0.13739999999999997
8,f2p,0.5058666666666667,0.5134222222222222,0.5056,-0.007555555555555538,-0.007822222222222175
9,p2f,0.6854222222222223,0.5128,0.6856888888888889,0.17262222222222223,0.17288888888888887
9,f2p,0.5248888888888888,0.46986666666666665,0.5251555555555556,0.055022222222222195,0.05528888888888894
10,p2f,0.7565333333333333,0.3738222222222222,0.7565333333333333,0.38271111111111106,0.38271111111111106
10,f2p,0.6257777777777778,0.5593333333333333,0.6257333333333334,0.06644444444444442,0.06640000000000001
11,p2f,0.7716888888888889,0.6334666666666666,0.7719555555555555,0.13822222222222225,0.13848888888888888
11,f2p,0.6258222222222222,0.43764444444444445,0.6251555555555556,0.18817777777777772,0.18751111111111113
12,p2f,0.8025333333333333,0.3236888888888889,0.802,0.4788444444444444,0.47831111111111113
12,f2p,0.6168444444444444,0.5078666666666667,0.6164444444444445,0.10897777777777773,0.10857777777777777
13,p2f,0.8619111111111111,0.2753333333333333,0.862,0.5865777777777778,0.5866666666666667
13,f2p,0.6091111111111112,0.5966666666666667,0.6091111111111112,0.01244444444444448,0.01244444444444448
14,p2f,0.8677333333333334,0.7416888888888888,0.8676888888888888,0.12604444444444451,0.126
14,f2p,0.6068,0.37475555555555556,0.6067555555555556,0.23204444444444444,0.23200000000000004
15,p2f,0.8984444444444445,0.26053333333333334,0.8985333333333333,0.6379111111111111,0.6379999999999999
15,f2p,0.6326666666666667,0.67,0.6332444444444445,-0.03733333333333333,-0.03675555555555554
16,p2f,0.9251111111111111,0.7824888888888889,0.9248888888888889,0.1426222222222222,0.14239999999999997
16,f2p,0.6576,0.7420888888888889,0.6573777777777777,-0.08448888888888895,-0.08471111111111118
17,p2f,0.9259555555555555,0.17302222222222222,0.9258666666666666,0.7529333333333333,0.7528444444444444
17,f2p,0.7636,0.15333333333333332,0.7636444444444445,0.6102666666666666,0.6103111111111111
18,p2f,0.9335555555555556,0.2464,0.9335111111111111,0.6871555555555555,0.687111111111111
18,f2p,0.8186666666666667,0.7035555555555556,0.8186666666666667,0.11511111111111105,0.11511111111111105
19,p2f,0.9491111111111111,0.6505777777777778,0.9490666666666666,0.2985333333333333,0.2984888888888888
19,f2p,0.882,0.7159555555555556,0.8819555555555556,0.16604444444444444,0.16600000000000004
